control_id,control_name,group,domain_or_lens,normalized_severity,catalog_severity,applicability_for_fnnlr,gateforge_status,evidence_summary,source_required_evidence,fail_condition
D0-CEO-FOUNDER-EXECUTIV-001,Founder vision clarity,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-002,CEO launch decision ownership,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-003,Risk acceptance ownership,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-004,Product owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-005,Technical owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-006,Security owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-007,Support owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PASS,Commercial/support docs provide repo evidence.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-008,Incident owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-009,Commercial owner defined,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PASS,Commercial/support docs provide repo evidence.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-010,Launch budget awareness,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
