rank,id,priority,owner,phase,action,evidence,next_command,unblock_evidence
"1","EX-002","P1","Engineering","Trust center execution","Add security overview summary for sales use.","Security overview section linked from trust center.","OWNER_ACTION_REQUIRED","Security overview section linked from trust center."
"2","EX-007","P1","Engineering","Trust center execution","Add retention and deletion summary to trust center.","Trust center links DATA_LIFECYCLE.","OWNER_ACTION_REQUIRED","Trust center links DATA_LIFECYCLE."
"3","EX-008","P1","Engineering","Trust center execution","Add backup and restore summary to trust center.","Trust center links BACKUP_RESTORE_RUNBOOK.","OWNER_ACTION_REQUIRED","Trust center links BACKUP_RESTORE_RUNBOOK."
"4","EX-009","P1","Engineering","Trust center execution","Add incident response summary to trust center.","Trust center links incident/observability docs.","OWNER_ACTION_REQUIRED","Trust center links incident/observability docs."
"5","EX-056","P1","Engineering","AI intelligence execution","Create implementation backlog for workflow id on AI usage events.","Spec includes engineering backlog row.","OWNER_ACTION_REQUIRED","Spec includes engineering backlog row."
"6","EX-003","P1","Founder/legal","Trust center execution","Add legal approval tracker row for Terms.","Legal tracker shows owner, state, and evidence.","OWNER_ACTION_REQUIRED","Legal tracker shows owner, state, and evidence."
"7","EX-004","P1","Founder/legal","Trust center execution","Add legal approval tracker row for Privacy.","Legal tracker shows owner, state, and evidence.","OWNER_ACTION_REQUIRED","Legal tracker shows owner, state, and evidence."
"8","EX-005","P1","Founder/legal","Trust center execution","Add legal approval tracker row for DPA.","Legal tracker shows owner, state, and evidence.","OWNER_ACTION_REQUIRED","Legal tracker shows owner, state, and evidence."
"9","EX-006","P1","Founder/legal","Trust center execution","Add legal approval tracker row for subprocessors.","Subprocessor row exists with evidence owner.","OWNER_ACTION_REQUIRED","Subprocessor row exists with evidence owner."
"10","EX-062","P1","Marketing","Sales execution","Create evidence-gated outreach sequence for first ICP.","ICP outreach doc plus outreach readiness contract, compliance review gate, tracking requirement, and hosted evidence gap.","OWNER_ACTION_REQUIRED","ICP outreach doc plus outreach readiness contract, compliance review gate, tracking requirement, and hosted evidence gap."
"11","EX-012","P1","Product","Commercial moat execution","Define Starter seats limit.","Starter plan row has seats limit.","OWNER_ACTION_REQUIRED","Starter plan row has seats limit."
"12","EX-013","P1","Product","Commercial moat execution","Define Starter workflows limit.","Starter plan row has workflow limit.","OWNER_ACTION_REQUIRED","Starter plan row has workflow limit."
"13","EX-014","P1","Product","Commercial moat execution","Define Starter contacts limit.","Starter plan row has contacts limit.","OWNER_ACTION_REQUIRED","Starter plan row has contacts limit."
"14","EX-015","P1","Product","Commercial moat execution","Define Starter AI budget limit.","Starter plan row has AI cap.","OWNER_ACTION_REQUIRED","Starter plan row has AI cap."
"15","EX-016","P1","Product","Commercial moat execution","Define Growth seats limit.","Growth plan row has seats limit.","OWNER_ACTION_REQUIRED","Growth plan row has seats limit."
"16","EX-017","P1","Product","Commercial moat execution","Define Growth workflows limit.","Growth plan row has workflow limit.","OWNER_ACTION_REQUIRED","Growth plan row has workflow limit."
"17","EX-018","P1","Product","Commercial moat execution","Define Growth contacts limit.","Growth plan row has contacts limit.","OWNER_ACTION_REQUIRED","Growth plan row has contacts limit."
"18","EX-019","P1","Product","Commercial moat execution","Define Growth AI budget limit.","Growth plan row has AI cap.","OWNER_ACTION_REQUIRED","Growth plan row has AI cap."
"19","EX-020","P1","Product","Commercial moat execution","Define Scale seats limit.","Scale plan row has seats limit.","OWNER_ACTION_REQUIRED","Scale plan row has seats limit."
"20","EX-021","P1","Product","Commercial moat execution","Define Scale workflows limit.","Scale plan row has workflow limit.","OWNER_ACTION_REQUIRED","Scale plan row has workflow limit."
