Route/path,Page/API,Public/authenticated/admin,File path,Purpose,Data used,Auth required,Risk,Notes
/health,API,public,apps/api/src/server.ts:195,Public health probe,Tenant/control/tenant DB depending on route,No auth,Medium to high depending on mutation,Confirmed from server route dispatch
/auth/signup,API,public,apps/api/src/server.ts:287,Register user/workspace,Tenant/control/tenant DB depending on route,Input validation; creates auth/session context,Medium to high depending on mutation,Confirmed from server route dispatch
/auth/login,API,public,apps/api/src/server.ts:295,Login,Tenant/control/tenant DB depending on route,Rate-limited login path tested,Medium to high depending on mutation,Confirmed from server route dispatch
/auth/logout,API,authenticated,apps/api/src/server.ts:312,Logout,Tenant/control/tenant DB depending on route,Session token,Medium to high depending on mutation,Confirmed from server route dispatch
/auth/me,API,authenticated,apps/api/src/server.ts:316,Current user/session,Tenant/control/tenant DB depending on route,Session token,Medium to high depending on mutation,Confirmed from server route dispatch
/r/:code,API,public,apps/api/src/server.ts:334,Tracked redirect,Tenant/control/tenant DB depending on route,Server-side tenant resolution from public code,Medium to high depending on mutation,Confirmed from server route dispatch
/p/:slug,API,public,apps/api/src/server.ts:348,Published page read,Tenant/control/tenant DB depending on route,Server-side tenant resolution from public slug,Medium to high depending on mutation,Confirmed from server route dispatch
/track/page-event(s),API,public,apps/api/src/server.ts:358,Page/event tracking,Tenant/control/tenant DB depending on route,Payload validation and rate limiting,Medium to high depending on mutation,Confirmed from server route dispatch
/webhooks/whatsapp/:connectionId,API,public webhook,apps/api/src/server.ts:229,WhatsApp webhook,Tenant/control/tenant DB depending on route,"Connection-id tenant resolution, signature checks where configured",Medium to high depending on mutation,Confirmed from server route dispatch
/webhooks/payments/:provider/:connectionId,API,public webhook,apps/api/src/server.ts:241,Payment webhook,Tenant/control/tenant DB depending on route,Provider validation and safe unmatched storage,Medium to high depending on mutation,Confirmed from server route dispatch
/internal/cron/:job,API,internal,apps/api/src/server.ts:255,Internal scheduler trigger,Tenant/control/tenant DB depending on route,Requires FNNLR_CRON_SECRET and body tenantId,Medium to high depending on mutation,Confirmed from server route dispatch
/funnels and /funnels/:id/*,API,authenticated,apps/api/src/server.ts:532-1190,"Main funnel, page, leads, repairs, recommendations, desk APIs",Tenant/control/tenant DB depending on route,Session tenant or dev-only header,Medium to high depending on mutation,Confirmed from server route dispatch
/admin/*,API,authenticated/admin-like,apps/api/src/server.ts:400,Admin support/health/customer ops,Tenant/control/tenant DB depending on route,Session tenant; tests reject header-only prod access,Medium to high depending on mutation,Confirmed from server route dispatch
/integrations/*,API,authenticated,apps/api/src/server.ts:842-873,Integration connection management,Tenant/control/tenant DB depending on route,Secret masking/encryption fail-closed in prod,Medium to high depending on mutation,Confirmed from server route dispatch
/portfolio /scheduled /opportunities /recommendations /revenue-desk /activation,API,authenticated,apps/api/src/server.ts:939-1116,Operating dashboards and intelligence surfaces,Tenant/control/tenant DB depending on route,Tenant-scoped services,Medium to high depending on mutation,Confirmed from server route dispatch
apps/automation-builder/index.html,Page,Browser UI,apps/automation-builder/index.html,Static HTML UI surface,API data via fetch,Token where required,Medium,Confirmed from repository
/web/funnel.html,Page,Browser UI,apps/web/funnel.html,Static HTML UI surface,API data via fetch,Token where required,Medium,Confirmed from repository
/web/index.html,Page,Browser UI,apps/web/index.html,Static HTML UI surface,API data via fetch,Token where required,Medium,Confirmed from repository
/web/onboarding.html,Page,Browser UI,apps/web/onboarding.html,Static HTML UI surface,API data via fetch,Token where required,Medium,Confirmed from repository
/web/p.html,Page,Browser UI,apps/web/p.html,Static HTML UI surface,API data via fetch,Token where required,Medium,Confirmed from repository
