Method,Endpoint,File path,Purpose,Request inputs,Response outputs,Auth required,Authorization model,Validation,Rate limiting,Errors,Security risks,Recommendations
GET,/health,apps/api/src/server.ts:195,Public health probe,JSON/body/path/query depending on endpoint,JSON or redirect/public page,No auth,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/auth/signup,apps/api/src/server.ts:287,Register user/workspace,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Input validation; creates auth/session context,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/auth/login,apps/api/src/server.ts:295,Login,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Rate-limited login path tested,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/auth/logout,apps/api/src/server.ts:312,Logout,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Session token,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET,/auth/me,apps/api/src/server.ts:316,Current user/session,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Session token,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET,/r/:code,apps/api/src/server.ts:334,Tracked redirect,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Server-side tenant resolution from public code,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET,/p/:slug,apps/api/src/server.ts:348,Published page read,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Server-side tenant resolution from public slug,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/track/page-event(s),apps/api/src/server.ts:358,Page/event tracking,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Payload validation and rate limiting,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/webhooks/whatsapp/:connectionId,apps/api/src/server.ts:229,WhatsApp webhook,JSON/body/path/query depending on endpoint,JSON or redirect/public page,"Connection-id tenant resolution, signature checks where configured",Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/webhooks/payments/:provider/:connectionId,apps/api/src/server.ts:241,Payment webhook,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Provider validation and safe unmatched storage,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
POST,/internal/cron/:job,apps/api/src/server.ts:255,Internal scheduler trigger,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Requires FNNLR_CRON_SECRET and body tenantId,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET/POST/PATCH/DELETE,/funnels and /funnels/:id/*,apps/api/src/server.ts:532-1190,"Main funnel, page, leads, repairs, recommendations, desk APIs",JSON/body/path/query depending on endpoint,JSON or redirect/public page,Session tenant or dev-only header,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET,/admin/*,apps/api/src/server.ts:400,Admin support/health/customer ops,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Session tenant; tests reject header-only prod access,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET/POST/PATCH/DELETE,/integrations/*,apps/api/src/server.ts:842-873,Integration connection management,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Secret masking/encryption fail-closed in prod,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
GET/POST,/portfolio /scheduled /opportunities /recommendations /revenue-desk /activation,apps/api/src/server.ts:939-1116,Operating dashboards and intelligence surfaces,JSON/body/path/query depending on endpoint,JSON or redirect/public page,Tenant-scoped services,Session tenant; public routes resolve tenant server-side; dev header only in FNNLR_DEV_MODE,Inline validation and service-level checks,Implemented on sensitive public/auth paths per tests,JSON errors/status codes,IDOR/tenant isolation/public abuse risks,Generate OpenAPI and per-route auth matrix
