secret,kind,owner,value_source,purpose,validation,blocker_if_missing
"GATEFORGE_HOSTED_STAGING_ATTESTATION_JSON","attestation","Operator + founder/legal","Sanitized hosted staging attestation JSON packet.","Provides the seven external evidence decisions to the hosted gate.","npm run gateforge:external-check","External evidence packet cannot be evaluated."
"GATEFORGE_HOSTED_STAGING_ATTESTATION_B64","attestation","Operator + founder/legal","Base64 encoded hosted staging attestation JSON packet.","Safer GitHub Actions transport for the same external packet.","npm run gateforge:prepare-hosted-attestation","Workflow needs JSON fallback or cannot load attestation."
"CONTROL_PLANE_DATABASE_URL","runtime","Engineering/operator","Hosted staging control-plane Postgres connection string.","Runs control-plane migrations, auth, tenant routing, and live CI proof.","npm run ci:live","Hosted live CI and tenant-control proof cannot run."
"TENANT_DB_ADMIN_URL","runtime","Engineering/operator","Hosted staging admin connection string that can create/drop tenant DBs.","Runs provisioning, restore, and DB-per-tenant isolation checks.","npm run test:pg","Tenant isolation and restore drill remain unproven."
"TENANT_DB_HOST","runtime","Engineering/operator","Hosted staging tenant database host.","Allows tenant provisioning commands to target the staging database host.","npm run test:pg","Tenant provisioning cannot be proven in hosted staging."
"TENANT_CREDENTIAL_ENCRYPTION_KEY","runtime","Engineering/operator","Strong staging encryption key from the secret manager.","Encrypts tenant database credentials before storage.","npm run verify:production-safety","Credential-at-rest evidence is missing."
"INTEGRATION_ENCRYPTION_KEY","runtime","Engineering/operator","Strong staging encryption key from the secret manager.","Encrypts integration tokens and webhook connection secrets.","npm run verify:production-safety","Integration secret handling remains unproven."
"FNNLR_CRON_SECRET","runtime","Engineering/operator","Random staging cron authorization secret.","Protects internal scheduled job routes.","npm run deploy:health-gate","Cron route authorization and alert proof remain incomplete."
"AUTH_MFA_ENCRYPTION_KEY","runtime","Engineering/operator","Strong staging MFA encryption key from the secret manager.","Encrypts admin/workspace-owner MFA material.","npm run verify:production-safety","Admin MFA runtime proof remains incomplete."
"FNNLR_AI_TENANT_DAILY_USD_CAP","runtime","Product/operator","Numeric staging tenant daily AI spend cap.","Proves tenant-level AI spend control before provider calls.","npm run verify:production-safety","Tenant AI budget proof remains incomplete."
"FNNLR_AI_GLOBAL_DAILY_USD_CAP","runtime","Product/operator","Numeric staging global daily AI spend cap.","Proves platform-wide AI spend control before provider calls.","npm run verify:production-safety","Global AI budget proof remains incomplete."
"SENTRY_DSN","runtime","Engineering/operator","Hosted staging Sentry or equivalent DSN.","Proves production-grade error reporting path.","npm run deploy:health-gate","Monitoring and alerting evidence remains incomplete."
"UPTIME_HEALTHCHECK_URL","runtime","Engineering/operator","External uptime monitor endpoint for hosted staging /health.","Proves external health monitoring exists.","npm run deploy:health-gate","Uptime evidence remains incomplete."
"ALERT_EMAIL_TO","runtime","Engineering/operator","Staging alert destination email.","Receives cron, webhook, restore, and health-gate alerts.","npm run deploy:health-gate","Alert routing proof remains incomplete."
"ALERT_WEBHOOK_URL","runtime","Engineering/operator","Staging alert webhook destination.","Provides machine-readable alert delivery evidence.","npm run deploy:health-gate","Webhook alert proof remains incomplete."
"RESEND_API_KEY","runtime","Engineering/operator","Resend staging API key or equivalent transactional provider key.","Proves transactional email can send account/admin messages.","npm run deploy:smoke","Email provider readiness remains incomplete."
"EMAIL_FROM","runtime","Founder/operator","Verified staging sender address on the email provider.","Provides a deliverable sender for transactional messages.","npm run deploy:smoke","Email deliverability evidence remains incomplete."
"EMAIL_REPLY_TO","runtime","Founder/operator","Support or founder reply-to address.","Ensures customer replies reach a monitored inbox.","npm run deploy:smoke","Support email loop evidence remains incomplete."
"ANTHROPIC_API_KEY","runtime","Engineering/operator","Staging AI provider key with spend limits.","Proves AI gateway behavior for allowed, capped, and kill-switch cases.","npm run verify:production-safety","AI runtime proof remains incomplete."
