Table/model/entity,Fields,Relationships,Indexes,Constraints,Sensitive data,Retention concern,File path,Risk,Recommendation
tenants,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
tenant_users,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
schema_migrations_control,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
tenant_migration_status,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
benchmark_aggregates,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
control_audit,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
users,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspaces,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspace_members,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspace_businesses,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
